stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
30,918,ga,ignoring,170.6469,157.7486,7,163.6703,1748.1328
30,918,nearest_neighbor,aware,212.4235,235.7198,10,175.1019,2569.6213
30,918,nearest_neighbor,ignoring,180.8865,343.4318,11,178.4537,3615.2048
30,919,qpso,aware,252.4472,0.0,0,97.7162,252.4472
30,919,qpso,ignoring,207.1903,348.2159,11,182.0432,3689.3494
30,919,pso,aware,232.7634,0.0,0,92.7162,232.7634
30,919,pso,ignoring,190.5211,517.0508,13,216.09,5361.0295
30,919,ga,aware,247.31,0.0,0,102.2648,247.31
30,919,ga,ignoring,210.2018,332.5798,10,189.9316,3535.9995
30,919,nearest_neighbor,aware,266.8302,422.9882,14,205.9546,4496.7121
30,919,nearest_neighbor,ignoring,231.2206,512.7407,14,188.4671,5358.6272
