stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
30,917,qpso,ignoring,174.139,236.3587,9,153.5945,2537.7258
30,917,pso,aware,285.5481,23.4314,4,34.1189,519.8622
30,917,pso,ignoring,186.6696,173.7947,7,140.6855,1924.6164
30,917,ga,aware,256.0059,0.0,0,65.2004,256.0059
30,917,ga,ignoring,189.5179,200.3539,9,152.4519,2193.0565
30,917,nearest_neighbor,aware,232.7229,160.3139,10,107.2689,1835.862
30,917,nearest_neighbor,ignoring,174.139,259.0712,9,152.1132,2764.851
30,918,qpso,aware,346.9875,0.0,0,82.6068,346.9875
30,918,qpso,ignoring,177.5282,233.872,12,197.3968,2516.2483
30,918,pso,aware,305.2417,0.0,0,85.2761,305.2417
30,918,pso,ignoring,183.8262,218.1367,10,179.4443,2365.1932
30,918,ga,aware,190.9832,0.0,0,160.9953,190.9832
30,918,ga,ignoring,180.8087,351.3976,10,176.6178,3694.7848
30,918,nearest_neighbor,aware,212.4235,235.7198,10,175.1019,2569.6213
30,918,nearest_neighbor,ignoring,180.8865,343.4318,11,178.4537,3615.2048
30,919,qpso,aware,335.4397,0.4424,1,22.1271,339.8639
30,919,qpso,ignoring,199.2631,325.7619,7,184.6863,3456.8821
30,919,pso,aware,332.3104,13.8798,3,30.9272,471.108
30,919,pso,ignoring,190.5211,517.0508,13,216.09,5361.0295
30,919,ga,aware,242.0539,0.0,0,77.9551,242.0539
30,919,ga,ignoring,210.2018,332.5798,10,189.9316,3535.9995
30,919,nearest_neighbor,aware,266.8302,422.9882,14,205.9546,4496.7121
30,919,nearest_neighbor,ignoring,231.2206,512.7407,14,188.4671,5358.6272
